id;dispatch_time;task;participant;compiler;verdict;points;execution_time;memory
130083942;16.12.24 12:19:21;B. MaxSum;munic7-8_5;Python 3.12.3;PE;0;0;0
130083803;16.12.24 12:18:09;C. Алина и числа;munic7-8_5;Python 3.12.3;CE;;0;0
130083709;16.12.24 12:17:22;C. Алина и числа;munic7-8_5;Python 3.12.3;CE;;0;0
130083666;16.12.24 12:16:59;E. Антоша и ITMO;munic7-8_14;C# (.NET 8.0);CE;;0;0
130083567;16.12.24 12:16:10;E. Антоша и ITMO;munic7-8_14;C# (.NET 8.0);CE;;0;0
130083271;16.12.24 12:13:51;B. MaxSum;munic7-8_16;Python 3.12.3;WA;0;0;0
130083105;16.12.24 12:12:34;A. Туда сюда;munic7-8_16;Python 3.12.3;OK;100;35;4.4
130083067;16.12.24 12:12:14;A. Туда сюда;munic7-8_16;C# (.NET 8.0);CE;;0;0
130083026;16.12.24 12:11:57;A. Туда сюда;munic7-8_5;Python 3.12.3;CE;;0;0
130082835;16.12.24 12:10:38;A. Туда сюда;munic7-8_14;C# (.NET 8.0);CE;;0;0
130082686;16.12.24 12:09:38;A. Туда сюда;munic7-8_14;C# (.NET 8.0);CE;;0;0
130082575;16.12.24 12:08:55;A. Туда сюда;munic7-8_14;C# (.NET 8.0);CE;;0;0
130082562;16.12.24 12:08:48;C. Алина и числа;munic7-8_5;Python 3.12.3;CE;;0;0
130082527;16.12.24 12:08:34;C. Алина и числа;munic7-8_5;Python 3.12.3;CE;;0;0
130082473;16.12.24 12:08:10;C. Алина и числа;munic7-8_5;Python 3.12.3;CE;;0;0
130082293;16.12.24 12:06:44;C. Алина и числа;munic7-8_5;Python 3.12.3;CE;;0;0
130082177;16.12.24 12:05:53;D. Вершина и интенсивы;munic7-8_15;C# (.NET 8.0);CE;;0;0
130082174;16.12.24 12:05:52;C. Алина и числа;munic7-8_5;Python 3.12.3;CE;;0;0
130082055;16.12.24 12:05:04;E. Антоша и ITMO;munic7-8_15;C# (.NET 8.0);CE;;0;0
130082052;16.12.24 12:05:04;B. MaxSum;munic7-8_14;C# (.NET 8.0);CE;;0;0
130081962;16.12.24 12:04:33;C. Алина и числа;munic7-8_12;C# (.NET 8.0);CE;;0;0
130081943;16.12.24 12:04:28;C. Алина и числа;munic7-8_15;C# (.NET 8.0);CE;;0;0
130081868;16.12.24 12:03:57;A. Туда сюда;munic7-8_15;C# (.NET 8.0);CE;;0;0
130081864;16.12.24 12:03:56;B. MaxSum;munic7-8_14;C# (.NET 8.0);CE;;0;0
130081808;16.12.24 12:03:33;E. Антоша и ITMO;munic7-8_7;Python 3.12.3;CE;;0;0
130081636;16.12.24 12:02:13;B. MaxSum;munic7-8_12;C# (.NET 8.0);CE;;0;0
130081611;16.12.24 12:02:01;B. MaxSum;munic7-8_14;C# (.NET 8.0);CE;;0;0
130081431;16.12.24 12:00:44;E. Антоша и ITMO;munic7-8_21;C# (.NET 8.0);CE;;0;0
130081400;16.12.24 12:00:32;A. Туда сюда;munic7-8_14;C# (.NET 8.0);CE;;0;0
130081366;16.12.24 12:00:18;D. Вершина и интенсивы;munic7-8_21;C# (.NET 8.0);CE;;0;0
130081327;16.12.24 12:00:04;C. Алина и числа;munic7-8_21;C# (.NET 8.0);CE;;0;0
130081272;16.12.24 11:59:39;A. Туда сюда;munic7-8_3;Python 3.12.3;IG;100;35;4.4
130081196;16.12.24 11:59:12;A. Туда сюда;munic7-8_12;C# (.NET 8.0);CE;;0;0
130081099;16.12.24 11:58:30;A. Туда сюда;munic7-8_14;C# (.NET 8.0);CE;;0;0
130081057;16.12.24 11:58:10;B. MaxSum;munic7-8_4;Python 3.12.3;WA;0;0;0
130080909;16.12.24 11:57:16;A. Туда сюда;munic7-8_14;C# (.NET 8.0);CE;;0;0
130080891;16.12.24 11:57:06;A. Туда сюда;munic7-8_19;Python 3.12.3;RE;0;0;0
130080843;16.12.24 11:56:49;A. Туда сюда;munic7-8_4;Python 3.12.3;IG;100;37;4.6
130080763;16.12.24 11:56:19;A. Туда сюда;munic7-8_19;Python 3.12.3;RE;0;0;0
130080717;16.12.24 11:56:03;D. Вершина и интенсивы;munic7-8_3;Python 3.12.3;WA;0;0;0
130080577;16.12.24 11:55:10;B. MaxSum;munic7-8_21;C# (.NET 8.0);CE;;0;0
130080565;16.12.24 11:55:07;B. MaxSum;munic7-8_4;Python 3.12.3;WA;0;0;0
130080470;16.12.24 11:54:28;A. Туда сюда;munic7-8_19;Python 3.12.3;CE;;0;0
130080411;16.12.24 11:54:06;C. Алина и числа;munic7-8_3;Python 3.12.3;IG;50;1090.0;15.2
130080336;16.12.24 11:53:44;A. Туда сюда;munic7-8_19;Python 3.12.3;CE;;0;0
130080298;16.12.24 11:53:24;A. Туда сюда;munic7-8_19;Python 3.12.3;RE;0;0;0
130080237;16.12.24 11:53:02;B. MaxSum;munic7-8_13;Python 3.12.3;WA;0;0;0
130080178;16.12.24 11:52:42;A. Туда сюда;munic7-8_21;C# (.NET 8.0);CE;;0;0
130080164;16.12.24 11:52:35;A. Туда сюда;munic7-8_19;Python 3.12.3;RE;0;0;0
130080065;16.12.24 11:52:10;B. MaxSum;munic7-8_13;Python 3.12.3;WA;0;0;0
130079849;16.12.24 11:51:06;A. Туда сюда;munic7-8_19;Python 3.12.3;RE;0;0;0
130079839;16.12.24 11:51:04;D. Вершина и интенсивы;munic7-8_8;Python 3.12.3;CE;;0;0
130079722;16.12.24 11:50:28;C. Алина и числа;munic7-8_13;Python 3.12.3;WA;0;0;0
130079639;16.12.24 11:49:59;A. Туда сюда;munic7-8_20;Python 3.12.3;RE;0;0;0
130079488;16.12.24 11:49:09;E. Антоша и ITMO;munic7-8_3;Python 3.12.3;IG;20;792;45.4
130079447;16.12.24 11:48:57;C. Алина и числа;munic7-8_13;Python 3.12.3;WA;0;0;0
130079382;16.12.24 11:48:32;D. Вершина и интенсивы;munic7-8_8;Python 3.12.3;PE;0;0;0
130079335;16.12.24 11:48:13;D. Вершина и интенсивы;munic7-8_8;Python 3.12.3;PE;0;0;0
130079197;16.12.24 11:47:27;A. Туда сюда;munic7-8_19;Python 3.12.3;RE;0;0;0
130079035;16.12.24 11:46:35;D. Вершина и интенсивы;munic7-8_13;Python 3.12.3;IG;40;1090.0;15.2
130078980;16.12.24 11:46:19;A. Туда сюда;munic7-8_17;Python 3.12.3;WA;0;0;0
130078908;16.12.24 11:45:57;A. Туда сюда;munic7-8_17;Python 3.12.3;CE;;0;0
130078819;16.12.24 11:45:24;A. Туда сюда;munic7-8_19;Python 3.12.3;WA;0;0;0
130078762;16.12.24 11:45:08;A. Туда сюда;munic7-8_20;Python 3.12.3;RE;0;0;0
130078728;16.12.24 11:44:55;D. Вершина и интенсивы;munic7-8_13;Python 3.12.3;WA;0;0;0
